"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","year","t1","t2","good"
"306","Call hurts #Cubs
Strike 3 should be ball 1
Top 5 Nelson vs Baez
24% call same
1.6in from edge https://t.co/TTMM4PCB20",FALSE,4,NA,2017-04-08 01:28:18,FALSE,NA,"850520646710943745",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",10,FALSE,FALSE,NA,NA,"2017","Nelson vs Baez
2","Nelson","hurts"
"307","Call hurts #Cubs
Strike 1 should be ball 1
Top 5 Nelson vs Baez
12% call same
2.4in from edge https://t.co/SGZSbyzvIH",FALSE,6,NA,2017-04-08 01:27:48,FALSE,NA,"850520521536098305",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",7,FALSE,FALSE,NA,NA,"2017","Nelson vs Baez
1","Nelson","hurts"
"308","Call helps #Cubs
Strike 2 should be ball 2
Bot 4 Anderson vs Aguilar
24% call same
1.6in from edge https://t.co/BG8djHdCv3",FALSE,0,NA,2017-04-08 01:22:28,FALSE,NA,"850519177588871168",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Anderson vs Agui","Anderson","helps"
"309","Call helps #Cubs
Strike 1 should be ball 2
Bot 4 Anderson vs Aguilar
2% call same
4.4in from edge https://t.co/Ly4qXyh6e0",FALSE,2,NA,2017-04-08 01:22:17,FALSE,NA,"850519133485768704",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Anderson vs Agui","Anderson","helps"
"310","Call hurts #Cubs
Strike 1 should be ball 1
Top 4 Nelson vs Russell
16% call same
2.1in from edge https://t.co/LYdtXgZEfs",FALSE,2,NA,2017-04-08 01:07:09,FALSE,NA,"850515324235644931",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",1,FALSE,FALSE,NA,NA,"2017","Nelson vs Russel","Nelson","hurts"
"311","Call hurts #Cubs
Ball 1 should be strike 2
Bot 3 Anderson vs Santana
16% call same
2.4in from edge https://t.co/ch1i6o0WBb",FALSE,2,NA,2017-04-08 01:03:42,FALSE,NA,"850514453581967360",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",1,FALSE,FALSE,NA,NA,"2017","Anderson vs Sant","Anderson","hurts"
"312","Call helps #Cubs
Strike 2 should be ball 4
Bot 8 Strop vs Garcia
4% call same
4.1in from edge https://t.co/RwusLTiKnL",FALSE,3,NA,2017-04-06 20:34:45,FALSE,NA,"850084383637876737",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Strop vs Garcia
","Strop","helps"
"313","Call helps #Cubs
Strike 2 should be ball 4
Bot 8 Strop vs Garcia
10% call same
3.1in from edge https://t.co/gQNowy3xRL",FALSE,2,NA,2017-04-06 20:33:28,FALSE,NA,"850084059929825281",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Strop vs Garcia
","Strop","helps"
"314","Call hurts #Cubs
Ball 4 should be strike 1
Bot 8 Strop vs Molina
32% call same
1.4in from edge https://t.co/Xs03biCiQP",FALSE,0,NA,2017-04-06 20:30:45,FALSE,NA,"850083375356534790",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",0,FALSE,FALSE,NA,NA,"2017","Strop vs Molina
","Strop","hurts"
"315","Call hurts #Cubs
Ball 4 should be strike 1
Bot 8 Strop vs Molina
28% call same
1.4in from edge https://t.co/4aojHeci2I",FALSE,1,NA,2017-04-06 20:30:26,FALSE,NA,"850083295316586498",NA,"<a href=""http://www.902a.com"" rel=""nofollow"">902a</a>","CubsUmp",1,FALSE,FALSE,NA,NA,"2017","Strop vs Molina
","Strop","hurts"
